file,line,column,type,code,message,docs,severity,link
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina-project-wizard\src\Domain\ProjectWizardService.php",138,42,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina-project-wizard\src\Domain\ProjectWizardService.php",145,42,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.",https://developer.wordpress.org/apis/security/escaping/,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina-project-wizard\src\Domain\ProjectWizardService.php",184,42,ERROR,WordPress.Security.EscapeOutput.ExceptionNotEscaped,"All output should be run through an escaping function (see the Security sections in the WordPress Developer Handbooks), found '__'.",https://developer.wordpress.org/apis/security/escaping/,5,
readme.txt,0,0,ERROR,readme_description_non_official_language,"The readme description contains unofficial language. It must be written in standard English.",https://make.wordpress.org/plugins/2025/07/28/requiring-the-readme-to-be-written-in-english/,6,http://coordina.local/wp-admin/plugin-editor.php?plugin=coordina-project-wizard%2Fcoordina-project-wizard.php&file=coordina-project-wizard%2Freadme.txt
src/Admin/WizardAssets.php,0,0,ERROR,missing_direct_file_access_protection,"PHP file should prevent direct access. Add a check like: if ( ! defined( 'ABSPATH' ) ) exit;",https://developer.wordpress.org/plugins/wordpress-org/common-issues/#direct-file-access,6,http://coordina.local/wp-admin/plugin-editor.php?plugin=coordina-project-wizard%2Fcoordina-project-wizard.php&file=coordina-project-wizard%2Fsrc%2FAdmin%2FWizardAssets.php
.gitignore,0,0,WARNING,hidden_files,"Hidden files are not permitted.",,8,
AGENTS.md,0,0,WARNING,unexpected_markdown_file,"Unexpected markdown file ""AGENTS.md"" detected in plugin root. Only specific markdown files are expected in production plugins.",,9,http://coordina.local/wp-admin/plugin-editor.php?plugin=coordina-project-wizard%2Fcoordina-project-wizard.php&file=coordina-project-wizard%2FAGENTS.md
RELEASE_NOTES.md,0,0,WARNING,unexpected_markdown_file,"Unexpected markdown file ""RELEASE_NOTES.md"" detected in plugin root. Only specific markdown files are expected in production plugins.",,9,http://coordina.local/wp-admin/plugin-editor.php?plugin=coordina-project-wizard%2Fcoordina-project-wizard.php&file=coordina-project-wizard%2FRELEASE_NOTES.md
coordina-project-wizard.php,0,0,WARNING,plugin_header_nonexistent_domain_path,"The ""Domain Path"" header in the plugin file must point to an existing folder. Found: ""languages""",https://developer.wordpress.org/plugins/internationalization/how-to-internationalize-your-plugin/#domain-path,6,http://coordina.local/wp-admin/plugin-editor.php?plugin=coordina-project-wizard%2Fcoordina-project-wizard.php&file=coordina-project-wizard%2Fcoordina-project-wizard.php
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina-project-wizard\src\Admin\WizardAssets.php",20,18,WARNING,WordPress.Security.NonceVerification.Recommended,"Processing form data without nonce verification.",,5,
"D:\khalid\Personal Projects AI\Coordina\Coordina Website\app\public\wp-content\plugins\coordina-project-wizard\src\Admin\WizardAssets.php",20,62,WARNING,WordPress.Security.NonceVerification.Recommended,"Processing form data without nonce verification.",,5,
